Geography,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
1990,7978,1051,14145,9505,139964,264619,17754,16860,71452,87559,674,1125,0
1991,9219,2169,16993,13458,153330,282834,24193,21227,73257,79350,1056,2182,0
1992,9900,1400,15700,9300,165900,306600,20900,19400,70600,83200,900,1400,0
1993,10189,1523,17080,11486,177026,337436,23812,22214,84804,98794,1132,1864,0
1994,10330,1583,17527,11930,184875,349605,24254,23399,89008,104123,1130,1847,0
1995,10652,2662,19296,16380,177331,329317,26966,26425,92036,105670,1047,2400,0
1996,11260,1689,18704,12671,201122,383012,26096,25057,96832,113408,1104,1748,0
1997,18692,3761,26195,22205,235965,443714,38706,54555,184308,141853,1560,3922,0
1998,19598,3911,27190,23023,243815,463524,40446,56803,193230,143234,1487,3996,0
1999,20784,4072,28655,24526,258550,495859,41104,56890,195999,147986,1484,3257,1230
2000,21946,4191,29572,25058,270025,527438,42734,58198,207780,154966,1536,3484,1280
2001,22430,4140,30377,25445,274723,536954,43302,57580,211558,155831,1600,4212,1361
2002,26019,4340,31608,26654,282806,555155,44031,57517,216776,161762,1586,4514,1397
2003,27753,4416,32018,27241,286046,561879,44495,60002,224711,165800,1572,5123,1397
2004,27485,4546,32360,28009,293280,577814,45728,62709,237664,172580,1649,5249,1465
2005,28186,4691,32762,28281,297892,596629,47128,64170,248615,180855,1686,5180,1455
2006,29221,4804,32921,28787,301496,608044,48918,63375,264843,189186,1764,5199,1473
2007,32537,4782,33235,28962,309162,613526,50017,65909,269989,194683,1854,5655,1597
2008,31948,4836,33797,29215,314535,611784,51669,69352,273514,195789,2033,5114,1808
2009,28944,4845,33814,28802,311089,591637,51522,65649,258934,190709,2160,4581,1690
2010,30474,4948,34697,29404,317802,609770,52842,68913,272172,195819,2254,4707,2004
2011,31376,5044,34805,29468,324566,625937,54058,72612,290514,201413,2364,4274,2120
2012,29977,5091,34478,29117,328855,634944,55676,73952,302131,206591,2458,4250,2173
2013,31486,5187,34384,29017,333048,643937,57170,78709,319548,211555,2495,4367,2393
2014,31143,5206,34747,29040,338319,659861,58276,80176,338263,219061,2511,4575,2363
2015,30806,5281,35013,29276,341688,677384,59083,79574,326477,224153,2320,4621,2353
2016,31282,5394,35489,29546,347198,692621,59967,79318,314599,230764,2488,4570,2479
2017,31674,5636,36214,30243,357097,711695,61965,81121,327996,239206,2537,4737,2806
2018,30772,5732,36841,30645,368215,735936,63195,82388,334580,248163,2607,4801,2932
2019,31997,5995,38087,31047,379058,752393,63931,81992,335068,255172,2573,4602,3161
2020,30483,5894,36734,30181,359786,716152,61144,77922,307798,247185,2667,4133,3200
2021,30668,6360,39000,31937,381260,752341,62187,77413,322865,262593,2933,4334,3454
